created_at,file_name,followers,friends,group_name,location,retweet_count,screenname,search_query,text,twitter_id,username,polarity,partition_0,partition_1
2020-07-19 12:35:57,Uganda,291,1398,Uganda,Milky Way Galaxy,335,oc_bria,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 12:30:52,Uganda,752,1227,Uganda,"Kampala, Uganda",335,EmmaMakabayi,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 12:29:45,Uganda,340272,453,Uganda,Uganda,3,observerug,#Uganda,"#Uganda #COVID19 update for July 18, 2020   🔺 New cases 3 🔹 Total cases 1,065 🔺 New samples tested 3,045 🔹 Total tested 245,450 🔹 Deaths 0  New cases: 1  trucker, one returnee from South Sudan and one contact from Gulu https://t.co/bktyibs5wg",,,,,
2020-07-19 12:28:40,Uganda,17816,13496,Uganda,Stalkers Republic😎 Seeta,335,Qrisy_Qrisy,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 12:25:13,Uganda,426,452,Uganda,Uganda kampala,335,TaremwaDavid6,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 12:23:03,Uganda,202,419,Uganda,,335,saulbalo,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 12:22:44,Uganda,4313,3501,Uganda,YouTuber - Rose Basemera,19,RoseBasemera1,#Uganda,RT @GangvaniR: Who is ready for a cafe Javas breakfast for free ? Jst follow the simple steps to win a   FREE🎉 FREE🎉 FREE🎊🎉 BREAKFAST AT CA…,,,,,
2020-07-19 12:22:08,Uganda,607,285,Uganda,Hamburg & Kibuku ,335,RKabejja,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 12:19:42,Uganda,109,198,Uganda,"Kampala, Uganda",335,XandraTzandrah,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 12:17:58,Uganda,111,262,Uganda,"Dar es Salaam, Tanzania",153,Nyembelele,#Uganda,RT @kaysafi1: Mutyabule Charles a freedom boda man which is a branch of the People Power informal sector woke up today anticipating escorti…,,,,,
2020-07-19 12:13:19,Uganda,2220,2506,Uganda,Uganda,335,donr_brian,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 12:12:53,Uganda,444,535,Uganda,,335,mikeottomasendi,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 12:12:25,Uganda,108,420,Uganda,Send me ,335,e_muhebwa,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 12:11:10,Uganda,398,366,Uganda,Journeying,335,MarthaSsekitto,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 12:10:14,Uganda,75,383,Uganda,uganda-uganda,335,TheUglyHunk,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 12:08:35,Uganda,817,877,Uganda,London,5,SharynOfficial,#Uganda,RT @AStepFWD: BRAND NEW: South London artist @SharynOfficial releases Afro House track  ‘Sanyuka’ ft. @iamdavecreates just in time for summ…,,,,,
2020-07-19 12:05:01,Uganda,294,752,Uganda,"Kampala, Uganda",5,shyphykey,#Uganda,RT @BuffaloSoldierA: ⛪️ SUNDAY SCHOOL John 10:10a “The thief comes only to STEAL and KILL and DESTROY.”  🇺🇬 #Uganda’s wealth &amp,,,,,
2020-07-19 12:05:00,Uganda,42,0,Uganda,All over the place,3,ChangeForUToday,#Uganda,"RT @Blum_Center: In #Uganda facing the #COVID-19 pandemic, Development Engineer Paige Balcom is creating tech-health solutions through her…",,,,,
2020-07-19 12:04:49,Uganda,6,13,Uganda,,5,OtienoAmollo1,#Uganda,RT @PunchlineAfric: #PaTvUpdates  ON AIR: #AfricaShowDown hosted by Dr. Matsanga David.  Call us on +254 795 638 145  Stream Live: https://…,,,,,
2020-07-19 12:03:22,Uganda,692,640,Uganda,Fm Pretoria 2 Port Elizabeth,5,mugireje,#Uganda,RT @Johnmugisha1: People that know the activities in #Uganda of RNC  the group led by Kayumba Nyamwasa whose goal is to destabilize #Rwanda…,,,,,
2020-07-19 12:01:42,Uganda,294,752,Uganda,"Kampala, Uganda",335,shyphykey,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 12:00:41,Uganda,1821,241,Uganda,,4,RitaAciro,#Uganda,"RT @chapterfourug: Get in the way; speak up, take action against injustice and human rights violations.  ""You must find a way to get in the…",,,,,
2020-07-19 12:00:00,Uganda,15253,1310,Uganda,"Kampala, Uganda",4,chapterfourug,#Uganda,"Get in the way; speak up, take action against injustice and human rights violations.  ""You must find a way to get in the way."" @repjohnlewis    #GoodTrouble #StandUp4HumanRights #Uganda https://t.co/28a8ihCF5S",,,,,
2020-07-19 11:58:52,Uganda,4912,567,Uganda,Adobe Street ,335,Major_Lazier,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 11:58:20,Uganda,741,815,Uganda,Australia,0,AfriBeads,#Uganda,Winter tones. Elizabeth necklace created by hand in Uganda. Photo at Late September.   #africanstyle #africanjewelry #uganda #africa #artisan #madebyhand #selfsufficient #empowerment #socialenterprise #afribeads #paperbeads #handcrafted https://t.co/TYBX4QZy0z,,,,,
2020-07-19 11:56:50,Uganda,2190,1762,Uganda,"(मेरठ)उत्तर प्रदेश, भारत",47,RAryaypmeerut,#Uganda,"RT @UNICEFUganda: ""I cannot describe what you are doing for the children of #Uganda."" ~ @rkabushenga   Thanks to @DKinUganda, @Irish_Aid, @…",,,,,
2020-07-19 11:55:51,Uganda,4183,267,Uganda,,0,Steve_RF,#Uganda,BUWEMBO: Uganda's seven cities are ours,,,,,
2020-07-19 11:51:08,Uganda,5984,867,Uganda,"Kampala, Uganda",335,Mugabiarts,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 11:49:45,Uganda,1467,15,Uganda,"Kampala, Uganda",4,LugamboBlog,#Uganda,RT @AfricaDemocracy: #BookClub: What has changed in East African politic over the last fifty years? Jonathan Fisher's brilliant new book Ea…,,,,,
2020-07-19 11:49:33,Uganda,836,855,Uganda,Buziga,335,squizymm,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 11:49:32,Uganda,1467,15,Uganda,"Kampala, Uganda",5,LugamboBlog,#Uganda,RT @PunchlineAfric: #PaTvUpdates  ON AIR: #AfricaShowDown hosted by Dr. Matsanga David.  Call us on +254 795 638 145  Stream Live: https://…,,,,,
2020-07-19 11:49:19,Uganda,199,101,Uganda,"Kampala, Uganda",335,Munassingo25,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 11:48:20,Uganda,64,176,Uganda,"Ontario, Canada",4,NicolaHepburn25,#Uganda,"RT @chapterfourug: Every day, human rights defenders speak up and take action against human rights abuses. Sometimes, they get into #GoodTr…",,,,,
2020-07-19 11:47:54,Uganda,741,815,Uganda,Australia,0,AfriBeads,#Uganda,Winter tones. Elizabeth necklace created by hand in Uganda. Photo at Late September.   #africanstyle #africanjewelry #uganda #africa #artisan #madebyhand #selfsufficient #empowerment #socialenterprise #afribeads #paperbeads #handcrafted https://t.co/LSTefJisPn,,,,,
2020-07-19 11:46:46,Uganda,2143,301,Uganda,Uganda,19,PrimRoze11,#Uganda,RT @GangvaniR: Who is ready for a cafe Javas breakfast for free ? Jst follow the simple steps to win a   FREE🎉 FREE🎉 FREE🎊🎉 BREAKFAST AT CA…,,,,,
2020-07-19 11:46:35,Uganda,97,170,Uganda,"Kampala, Uganda",335,Shadya867,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 11:44:38,Uganda,18,122,Uganda,"Sydney, New South Wales",0,BeadsAfri,#Uganda,Winter tones. Makindye necklace created by hand in Uganda.   #africanstyle #africanjewelry #uganda #africa #artisan #madebyhand #selfsufficient #empowerment #socialenterprise #afribeads #paperbeads #handcrafted https://t.co/sNtjYtQwn7,,,,,
2020-07-19 11:44:22,Uganda,1227,676,Uganda,"Jinja, Uganda",335,narta_narta,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 11:43:53,Uganda,2323,1212,Uganda,Uganda/kenya,335,quttos_047,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 11:43:40,Uganda,1657,1700,Uganda,,335,JMingieh,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 11:42:32,Uganda,18,122,Uganda,"Sydney, New South Wales",0,BeadsAfri,#Uganda,Winter tones. Queen Elizabeth necklace created by hand in Uganda. Photo at Late September.   #africanstyle #africanjewelry #uganda #africa #artisan #madebyhand #selfsufficient #empowerment #socialenterprise #afribeads #paperbeads #handcrafted https://t.co/boO7ruhsja,,,,,
2020-07-19 11:40:13,Uganda,16348,2700,Uganda,"Kampala, Uganda",335,AfroBoyUg,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 11:39:39,Uganda,1197,887,Uganda,there,335,Ivanwire,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 11:39:26,Uganda,1733,2114,Uganda,"Kampala, Uganda",19,GangvaniR,#Uganda,RT @GangvaniR: Who is ready for a cafe Javas breakfast for free ? Jst follow the simple steps to win a   FREE🎉 FREE🎉 FREE🎊🎉 BREAKFAST AT CA…,,,,,
2020-07-19 11:35:22,Uganda,1738,1551,Uganda,"Makerere, Uganda",335,Dorothee_01,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 11:34:33,Uganda,1821,1995,Uganda,"Kampala, Uganda",335,ivan_cadabrah,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 11:34:32,Uganda,508,395,Uganda,"Kampala, Uganda",0,YassersWorld,#Uganda,I feel like I'm far away from this world🖤 Model: gaitts  #passionpassport #uglyshape #collectivelycreate #gastroat #Uganda  #bnw_planet_2019 #wedphotoinspiration #1pointp #weekendmusic #nightphotography… https://t.co/7G5bbeQ1lz,,,,,
2020-07-19 11:33:20,Uganda,795,1038,Uganda,Finland,5,egbema2000,#Uganda,RT @PunchlineAfric: #PaTvUpdates  ON AIR: #AfricaShowDown hosted by Dr. Matsanga David.  Call us on +254 795 638 145  Stream Live: https://…,,,,,
2020-07-19 11:31:00,Uganda,709,2047,Uganda,"Kampala, Uganda",19,RogersAndrew5,#Uganda,RT @GangvaniR: Who is ready for a cafe Javas breakfast for free ? Jst follow the simple steps to win a   FREE🎉 FREE🎉 FREE🎊🎉 BREAKFAST AT CA…,,,,,
2020-07-19 11:30:35,Uganda,2875,1825,Uganda,London,0,Reform_Mag,#Uganda,"A locust invasion, followed by two months of coronavirus restrictions was bad enough. Then came the floods. Discover @flying4lifes work in #Uganda https://t.co/9LTQNuhHvW https://t.co/2YIy1Be3S8",,,,,
2020-07-19 11:30:14,Uganda,7561,2419,Uganda,"Nairobi, Kenya",5,PunchlineAfric,#Uganda,#PaTvUpdates  ON AIR: #AfricaShowDown hosted by Dr. Matsanga David.  Call us on +254 795 638 145  Stream Live: https://t.co/ZDRyAYY7GT  https://t.co/nUnqAfUP8s  https://t.co/Kq5X66qRH1  #Africa #Ethiopia #Egypt #Libya #Nigeria #SouthSudan #Zimbabwe #Rwanda #Uganda #Kenya https://t.co/feze7W3M9T,,,,,
2020-07-19 11:24:34,Uganda,11742,11267,Uganda,seeta ug,335,epepupaul,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 11:21:46,Uganda,10809,10234,Uganda,United Kingdom,5,AStepFWD,#Uganda,BRAND NEW: South London artist @SharynOfficial releases Afro House track  ‘Sanyuka’ ft. @iamdavecreates just in time for summer &amp,,,,,
2020-07-19 11:20:37,Uganda,16,18,Uganda,Trái Đất ,136,cun_cunbangtan3,#Uganda,"RT @UNICEFUganda: ""The commitment of partners to protecting the future education of #Uganda’s children demonstrates the true spirit of soli…",,,,,
2020-07-19 11:19:45,Uganda,1414,2513,Uganda,Uganda,335,drillztherapper,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 11:19:11,Uganda,2017,1209,Uganda,"Kampala,Uganda",4,DeoWalusimbi,#Uganda,"RT @chapterfourug: Every day, human rights defenders speak up and take action against human rights abuses. Sometimes, they get into #GoodTr…",,,,,
2020-07-19 11:16:45,Uganda,9685,3727,Uganda,Kampala Uganda,19,PercyCertified,#Uganda,RT @GangvaniR: Who is ready for a cafe Javas breakfast for free ? Jst follow the simple steps to win a   FREE🎉 FREE🎉 FREE🎊🎉 BREAKFAST AT CA…,,,,,
2020-07-19 11:16:02,Uganda,6992,6659,Uganda,"Bruxelles, Belgique",4,anthonyzach,#Uganda,RT @AfricaDemocracy: #BookClub: What has changed in East African politic over the last fifty years? Jonathan Fisher's brilliant new book Ea…,,,,,
2020-07-19 11:15:39,Uganda,535,1816,Uganda,Kampala,335,OnemanElijah,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 11:11:43,Uganda,389,714,Uganda,,9,CDNFred,#Uganda,"RT @TSA_Projects: This is what the #SalvationArmy’s #FrontLineHeroes during a global #Covid_19 crisis look like in #Uganda, #ElSalvador and…",,,,,
2020-07-19 11:11:38,Uganda,41,34,Uganda,"Jinja, Uganda",0,dcjinja,#Uganda,What are my responsibilities in my church today? Watch today's sermon here 👉https://t.co/MENuo3WWxp . #DeliveranceChurchJinja #DcJinja #DeliveranceChurch #SundayService #Uganda #Jinja https://t.co/W1ia9SiGKd,,,,,
2020-07-19 11:11:31,Uganda,46,85,Uganda,,335,Aquariusbaby256,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 11:09:59,Uganda,179,153,Uganda,,335,I_am_Winne,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 11:08:42,Uganda,4385,5001,Uganda,DXB,335,Kawalyaallan,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 11:07:46,Uganda,491,427,Uganda,Endzone,335,SeanMicheals69,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 11:07:06,Uganda,56,114,Uganda,,31,MusaNkwangu,#Uganda,"RT @observerug: Islamic University in #Uganda cuts staff salaries by 90%. Staff got only 50% salary for May &amp; June, 20% for July, August, a…",,,,,
2020-07-19 11:07:01,Uganda,1099,952,Uganda,East Africa,335,MrBakerMuntu,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 11:05:39,Uganda,1394,1276,Uganda,Kigali Rwanda ,4,murungim6,#Uganda,"RT @chapterfourug: Every day, human rights defenders speak up and take action against human rights abuses. Sometimes, they get into #GoodTr…",,,,,
2020-07-19 11:05:37,Uganda,328,599,Uganda,"Kampala, Uganda",335,LynetteDdungu,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 11:05:14,Uganda,657,209,Uganda,"Kampala, Uganda",17,Code_0556,#Uganda,RT @aaronjtamale: From the #StopReligiousOppression Facebook page in #Uganda 🇺🇬  They share what the #ProphetElvisMbonye has said to the ch…,,,,,
2020-07-19 11:04:24,Uganda,287,260,Uganda,uganda,4,LindseyNamitala,#Uganda,"RT @chapterfourug: Every day, human rights defenders speak up and take action against human rights abuses. Sometimes, they get into #GoodTr…",,,,,
2020-07-19 11:03:15,Uganda,271,55,Uganda,"Kampala, Uganda",335,kelipit,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 11:02:53,Uganda,104,212,Uganda,"Kampala, Uganda",335,mugambwa_martin,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 11:02:25,Uganda,188,264,Uganda,,335,musisi_esq,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 11:00:52,Uganda,1570,2458,Uganda,"Kampala, Uganda",2,KlaCVMasters,#Uganda,"RT @BrunoKomurubuga: Proposed flyer design for @kampalalasik, the first lasik vision correction in Uganda. #uganda #DesignThinking  #Creati…",,,,,
2020-07-19 11:00:01,Uganda,15253,1310,Uganda,"Kampala, Uganda",4,chapterfourug,#Uganda,"Every day, human rights defenders speak up and take action against human rights abuses. Sometimes, they get into #GoodTrouble. They need your support for a fair and just society.  ""You have a moral obligation to do something about it."" @repjohnlewis   #StandUp4HumanRights #Uganda https://t.co/AiokrzelVp",,,,,
2020-07-19 10:58:00,Uganda,330,379,Uganda,"Ilorin, Nigeria",335,imahmuddd,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 12:29:45,Uganda,340212,453,Uganda,Uganda,0,observerug,#Uganda,"#Uganda #COVID19 update for July 18, 2020   🔺 New cases 3 🔹 Total cases 1,065 🔺 New samples tested 3,045 🔹 Total tested 245,450 🔹 Deaths 0  New cases: 1  trucker, one returnee from South Sudan and one contact from Gulu https://t.co/bktyibs5wg",,,,,
2020-07-19 12:28:40,Uganda,17739,13459,Uganda,Stalkers Republic😎 Seeta,231,Qrisy_Qrisy,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 12:25:13,Uganda,426,448,Uganda,Uganda kampala,231,TaremwaDavid6,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
2020-07-19 12:23:03,Uganda,202,419,Uganda,,231,saulbalo,#Uganda,"RT @lilimobeth: #Uganda--Wasswa, the guy whose burial was made secret by @PoliceUg (Uganda's police) was taking a baby with a cannula on th…",,,,,
